Clark Huang
deposit 193
deposit 222
deposit 135
deposit 86
withdraw 369
withdraw 371
withdraw 339
deposit 80
deposit 325
withdraw 390
withdraw 229
withdraw 297
deposit 478
deposit 425
withdraw 209
deposit 350
withdraw 127
deposit 468
withdraw 457
withdraw 352
deposit 210
withdraw 494
deposit 222
deposit 492
withdraw 50
deposit 259
deposit 110
withdraw 214
withdraw 429
withdraw 404
withdraw 70
deposit 447
withdraw 236
deposit 288
withdraw 124
withdraw 494
withdraw 414
withdraw 484
deposit 398
deposit 76
deposit 237
withdraw 334
deposit 338
withdraw 157
withdraw 424
deposit 174
withdraw 53
deposit 329
withdraw 239
deposit 203
withdraw 52
withdraw 268
deposit 359
withdraw 373
withdraw 253
deposit 306
withdraw 259
deposit 332
deposit 258
deposit 250
deposit 234
deposit 440
withdraw 84
deposit 122
withdraw 384
deposit 68
deposit 87
deposit 475
withdraw 404
deposit 278
withdraw 72
deposit 337
deposit 405
deposit 86
deposit 366
withdraw 312
withdraw 481
deposit 287
withdraw 287
withdraw 85
deposit 473
deposit 317
withdraw 450
deposit 190
withdraw 323
withdraw 314
deposit 129
deposit 289
deposit 174
deposit 214
deposit 76
withdraw 254
deposit 373
deposit 217
withdraw 410
withdraw 490
deposit 119
deposit 128
withdraw 108
withdraw 480
generate
exit
